t,ax,ay,az,gx,gy,gz
12316, 0.30, 0.07, 0.98, -2.59, -0.21, -0.70
12317, 0.30, 0.07, 0.98, -4.20, -0.42, 0.35
12318, 0.28, 0.05, 0.98, -3.57, -3.92, 0.49
12319, 0.29, 0.04, 0.97, -5.11, -6.37, -0.84
12320, 0.31, 0.04, 0.98, -2.94, -4.69, 0.21
12321, 0.31, 0.04, 0.99, -1.89, -3.57, 0.14
12322, 0.31, 0.05, 0.97, -0.35, -1.47, 0.14
12323, 0.30, 0.05, 0.97, 2.45, -2.03, 0.00
12324, 0.30, 0.08, 0.98, 0.98, -0.28, 0.28
12325, 0.29, 0.10, 0.98, 1.19, -1.75, 2.52
12326, 0.28, 0.07, 0.97, 1.26, -6.65, 1.54
12327, 0.32, 0.06, 0.98, 2.38, -7.07, -2.45
12328, 0.32, 0.05, 0.98, 4.83, -2.17, -0.49
12329, 0.30, 0.05, 0.97, 4.62, -2.03, -0.49
12330, 0.30, 0.05, 0.96, 5.81, -3.71, 0.35
12331, 0.30, 0.05, 0.97, 5.53, -6.58, -0.56
12332, 0.29, 0.04, 0.97, 6.09, -10.15, 0.28
12333, 0.33, 0.06, 0.97, 8.54, -11.62, -1.26
12334, 0.38, 0.10, 0.98, 6.72, -0.91, -2.66
12335, 0.34, 0.09, 0.97, 8.33, 2.03, -1.47
12336, 0.32, 0.09, 0.98, 6.65, 6.02, -0.35
12337, 0.32, 0.11, 0.99, 2.66, 9.17, -2.10
12338, 0.30, 0.07, 0.99, 0.56, 8.89, -6.65
12339, 0.33, 0.08, 0.98, -0.84, 16.87, -8.82
12340, 0.27, 0.07, 0.98, 2.87, 9.17, -6.72
12341, 0.26, 0.07, 0.98, -1.05, 10.85, -1.26
12342, 0.27, 0.11, 0.98, -3.08, 9.87, 4.34
12343, 0.26, 0.11, 0.98, -1.61, 7.35, 2.17
12344, 0.27, 0.09, 0.98, -0.77, 5.88, -0.28
12345, 0.26, 0.10, 0.98, -0.35, 6.44, 1.19
12346, 0.26, 0.11, 0.99, -1.54, 3.92, 0.77
12347, 0.27, 0.11, 0.98, -4.62, 5.11, -0.49
12348, 0.25, 0.09, 0.98, -4.13, 2.66, 0.07
12349, 0.24, 0.06, 0.97, -2.03, -2.94, 0.42
12350, 0.24, 0.06, 0.98, -2.10, -6.51, 2.87
12351, 0.23, 0.04, 0.98, -0.49, -13.37, 4.97
12352, 0.26, 0.07, 0.98, -2.03, -13.16, 6.44
12353, 0.24, 0.06, 0.98, -1.05, -22.26, 6.72
12354, 0.30, 0.09, 0.98, -6.02, -17.78, 4.13
12355, 0.33, 0.08, 1.00, -7.00, -11.48, -0.56
12356, 0.33, 0.06, 0.98, -1.89, -6.51, -0.70
12357, 0.30, 0.05, 0.97, 0.49, -6.79, -0.28
12358, 0.30, 0.05, 0.96, 2.24, -9.17, -0.63
12359, 0.31, 0.05, 0.97, 3.99, -11.83, -0.35
12360, 0.32, 0.06, 0.97, 5.32, -10.99, 0.35
12361, 0.32, 0.06, 0.97, 5.95, -10.99, 1.68
12362, 0.34, 0.08, 0.98, 3.43, -6.30, -0.91
12363, 0.37, 0.10, 0.98, 2.45, 4.41, -5.95
12364, 0.36, 0.11, 0.98, 4.34, 9.17, -5.74
12365, 0.30, 0.04, 0.99, 5.46, 9.10, -3.29
12366, 0.32, 0.08, 0.97, 0.77, 17.78, -4.41
12367, 0.31, 0.08, 0.99, 1.68, 12.60, -3.29
12368, 0.27, 0.08, 0.99, -2.24, 17.29, 0.63
12369, 0.25, 0.10, 0.98, 0.56, 10.50, 7.07
12370, 0.24, 0.10, 0.99, -0.35, 11.90, 8.68
12371, 0.24, 0.10, 0.98, 2.52, 2.80, 4.62
12372, 0.29, 0.12, 0.98, -1.19, 11.13, 1.33
12373, 0.27, 0.12, 0.97, 1.40, 9.80, 0.77
12374, 0.23, 0.10, 0.98, 1.47, 3.57, 0.56
12375, 0.24, 0.09, 0.98, -1.82, -0.56, -1.47
12376, 0.24, 0.09, 0.97, -5.04, -3.22, 0.42
12377, 0.22, 0.06, 0.97, -0.91, -16.38, 2.66
12378, 0.23, 0.06, 0.98, -2.59, -18.97, 5.25
12379, 0.27, 0.06, 0.99, -1.12, -22.47, 7.14
12380, 0.30, 0.05, 0.99, -1.26, -17.43, 5.67
12381, 0.32, 0.05, 0.98, 1.68, -13.44, 2.80
12382, 0.31, 0.07, 0.97, 4.55, -9.24, 3.08
12383, 0.30, 0.07, 0.96, 6.37, -10.43, 2.73
12384, 0.30, 0.07, 0.97, 6.58, -10.99, 1.96
12385, 0.31, 0.07, 0.97, 9.03, -13.09, 2.73
12386, 0.33, 0.08, 0.97, 7.07, -11.55, 2.94
12387, 0.34, 0.09, 0.97, 2.80, -9.17, 0.84
12388, 0.37, 0.11, 0.98, 3.01, -0.77, -2.73
12389, 0.35, 0.09, 0.97, 0.98, 4.48, -4.76
12390, 0.33, 0.08, 0.98, -0.14, 9.17, -2.94
12391, 0.32, 0.09, 0.98, -1.54, 11.83, -3.43
12392, 0.32, 0.09, 1.00, -2.31, 14.84, -5.04
12393, 0.29, 0.08, 0.98, -1.19, 15.40, -3.15
12394, 0.25, 0.08, 0.97, -1.12, 10.08, -1.68
12395, 0.26, 0.10, 0.97, -5.25, 11.62, 1.12
12396, 0.22, 0.11, 0.97, -5.32, 2.73, 2.80
12397, 0.26, 0.10, 0.97, -7.00, -4.76, -1.26
12398, 0.27, 0.08, 0.98, -6.02, -3.85, -0.63
12399, 0.29, 0.08, 0.98, -6.37, -2.59, 1.40
12400, 0.29, 0.09, 0.98, -3.43, -2.17, 3.92
12401, 0.28, 0.11, 0.98, -3.85, -1.68, 3.78
12402, 0.28, 0.11, 0.97, -6.02, -4.97, 3.57
12403, 0.26, 0.07, 0.99, -4.48, -9.03, 4.06
12404, 0.29, 0.03, 0.98, -3.64, -10.78, -0.91
12405, 0.31, 0.03, 0.97, -1.12, -5.25, -0.49
12406, 0.29, 0.05, 0.97, 3.22, -3.08, 4.06
12407, 0.28, 0.11, 0.98, 2.03, -2.66, 7.35
