t,ax,ay,az,gx,gy,gz
25640, -0.45, 0.80, 0.46, -39.62, -8.33, 14.28
25641, -0.44, 0.81, 0.47, -38.71, -6.09, 16.24
25642, -0.41, 0.77, 0.45, -40.46, -6.93, 20.16
25643, -0.44, 0.73, 0.47, -34.44, -10.22, 19.04
25644, -0.43, 0.76, 0.44, -24.22, -16.94, 13.16
25645, -0.39, 0.74, 0.48, -22.61, -16.24, 4.34
25646, -0.39, 0.75, 0.51, -18.97, -20.30, -3.71
25647, -0.38, 0.75, 0.52, -13.16, -16.52, -6.09
25648, -0.40, 0.74, 0.52, -9.80, -16.94, -5.11
25649, -0.40, 0.73, 0.55, -8.12, -16.80, -4.55
25650, -0.37, 0.73, 0.56, -8.89, -12.53, -6.51
25651, -0.37, 0.72, 0.54, -0.56, -12.74, -6.02
25652, -0.39, 0.71, 0.55, 5.74, -10.36, -6.93
25653, -0.39, 0.74, 0.54, 13.72, -10.22, -9.17
25654, -0.38, 0.74, 0.56, 18.20, -10.85, -9.94
25655, -0.38, 0.75, 0.56, 17.92, -10.29, -8.12
25656, -0.36, 0.74, 0.55, 16.87, -4.48, -7.28
25657, -0.36, 0.75, 0.53, 17.85, -3.01, -5.53
25658, -0.38, 0.78, 0.53, 15.61, 0.91, -3.64
25659, -0.41, 0.79, 0.51, 15.26, -1.26, -5.18
25660, -0.40, 0.79, 0.51, 15.96, -3.36, -4.55
25661, -0.41, 0.79, 0.49, 19.04, -5.81, -1.75
25662, -0.42, 0.81, 0.49, 18.90, -8.47, -1.47
25663, -0.42, 0.82, 0.48, 21.49, -14.98, -3.92
25664, -0.39, 0.83, 0.49, 11.55, -16.31, -4.69
25665, -0.38, 0.83, 0.48, 10.08, -12.39, -6.09
25666, -0.38, 0.82, 0.48, 9.31, -16.52, -7.28
25667, -0.39, 0.86, 0.48, -8.54, -12.81, -2.87
25668, -0.37, 0.85, 0.48, -19.53, -7.77, -1.19
25669, -0.36, 0.84, 0.50, -20.09, -6.23, -0.77
25670, -0.40, 0.84, 0.52, -26.74, -6.30, -1.12
25671, -0.38, 0.84, 0.53, -41.72, -5.39, -1.54
25672, -0.35, 0.75, 0.52, -55.02, -3.71, -1.68
25673, -0.38, 0.78, 0.53, -36.33, -5.46, 4.48
25674, -0.38, 0.79, 0.56, -38.57, -2.80, 5.60
25675, -0.42, 0.76, 0.57, -41.44, -11.90, 9.31
25676, -0.44, 0.77, 0.59, -46.90, -22.54, 4.20
25677, -0.42, 0.76, 0.61, -56.49, -27.72, -2.10
25678, -0.43, 0.73, 0.65, -56.00, -35.14, -2.31
25679, -0.42, 0.70, 0.65, -65.17, -45.36, -6.44
25680, -0.38, 0.64, 0.69, -67.41, -48.51, -10.57
25681, -0.35, 0.60, 0.68, -58.45, -51.10, -14.14
25682, -0.32, 0.58, 0.74, -53.13, -46.20, -17.57
25683, -0.29, 0.55, 0.74, -41.86, -37.87, -15.82
25684, -0.26, 0.53, 0.77, -41.02, -28.91, -13.79
